-2,-2,4,3.27794
-2,-1.9,3.8,3.17387
-2,-1.8,3.6,3.06235
-2,-1.7,3.4,2.94338
-2,-1.6,3.2,2.81699
-2,-1.5,3,2.68327
-2,-1.4,2.8,2.54231
-2,-1.3,2.6,2.3943
-2,-1.2,2.4,2.23943
-2,-1.1,2.2,2.07797
-2,-1,2,1.91024
-2,-0.9,1.8,1.73661
-2,-0.8,1.6,1.55749
-2,-0.7,1.4,1.37339
-2,-0.6,1.2,1.18481
-2,-0.5,1,0.992358
-2,-0.4,0.8,0.796645
-2,-0.3,0.6,0.598336
-2,-0.2,0.4,0.398127
-2,-0.1,0.2,0.196737
-2,6.38378e-16,-1.27676e-15,-0.00510159
-2,0.1,-0.2,-0.206647
-2,0.2,-0.4,-0.407161
-2,0.3,-0.6,-0.605918
-2,0.4,-0.8,-0.802212
-2,0.5,-1,-0.995363
-2,0.6,-1.2,-1.18473
-2,0.7,-1.4,-1.36971
-2,0.8,-1.6,-1.54975
-2,0.9,-1.8,-1.72434
-2,1,-2,-1.89304
-2,1.1,-2.2,-2.05545
-2,1.2,-2.4,-2.21122
-2,1.3,-2.6,-2.36008
-2,1.4,-2.8,-2.50178
-2,1.5,-3,-2.63614
-2,1.6,-3.2,-2.76303
-2,1.7,-3.4,-2.88236
-2,1.8,-3.6,-2.99407
-2,1.9,-3.8,-3.09816
-1.9,-2,3.8,3.17405
-1.9,-1.9,3.61,3.07348
-1.9,-1.8,3.42,2.96564
-1.9,-1.7,3.23,2.85053
-1.9,-1.6,3.04,2.7282
-1.9,-1.5,2.85,2.59872
-1.9,-1.4,2.66,2.46221
-1.9,-1.3,2.47,2.31884
-1.9,-1.2,2.28,2.16881
-1.9,-1.1,2.09,2.0124
-1.9,-1,1.9,1.8499
-1.9,-0.9,1.71,1.68169
-1.9,-0.8,1.52,1.50818
-1.9,-0.7,1.33,1.32984
-1.9,-0.6,1.14,1.14719
-1.9,-0.5,0.95,0.960786
-1.9,-0.4,0.76,0.771236
-1.9,-0.3,0.57,0.57918
-1.9,-0.2,0.38,0.385291
-1.9,-0.1,0.19,0.19026
-1.9,6.38378e-16,-1.21292e-15,-0.00520434
-1.9,0.1,-0.19,-0.200388
-1.9,0.2,-0.38,-0.39458
-1.9,0.3,-0.57,-0.587079
-1.9,0.4,-0.76,-0.777201
-1.9,0.5,-0.95,-0.964293
-1.9,0.6,-1.14,-1.14773
-1.9,0.7,-1.33,-1.32693
-1.9,0.8,-1.52,-1.50135
-1.9,0.9,-1.71,-1.67051
-1.9,1,-1.9,-1.83395
-1.9,1.1,-2.09,-1.9913
-1.9,1.2,-2.28,-2.14221
-1.9,1.3,-2.47,-2.2864
-1.9,1.4,-2.66,-2.42363
-1.9,1.5,-2.85,-2.55373
-1.9,1.6,-3.04,-2.67654
-1.9,1.7,-3.23,-2.79198
-1.9,1.8,-3.42,-2.89998
-1.9,1.9,-3.61,-3.00053
-1.8,-2,3.6,3.0627
-1.8,-1.9,3.42,2.96581
-1.8,-1.8,3.24,2.86184
-1.8,-1.7,3.06,2.75081
-1.8,-1.6,2.88,2.63277
-1.8,-1.5,2.7,2.50781
-1.8,-1.4,2.52,2.37603
-1.8,-1.3,2.34,2.23762
-1.8,-1.2,2.16,2.09278
-1.8,-1.1,1.98,1.94177
-1.8,-1,1.8,1.7849
-1.8,-0.9,1.62,1.62252
-1.8,-0.8,1.44,1.45504
-1.8,-0.7,1.26,1.28291
-1.8,-0.6,1.08,1.10664
-1.8,-0.5,0.9,0.926756
-1.8,-0.4,0.72,0.743855
-1.8,-0.3,0.54,0.558549
-1.8,-0.2,0.36,0.371482
-1.8,-0.1,0.18,0.183319
-1.8,6.38378e-16,-1.14908e-15,-0.00526201
-1.8,0.1,-0.18,-0.193575
-1.8,0.2,-0.36,-0.380938
-1.8,0.3,-0.54,-0.566677
-1.8,0.4,-0.72,-0.750137
-1.8,0.5,-0.9,-0.930687
-1.8,0.6,-1.08,-1.10773
-1.8,0.7,-1.26,-1.28069
-1.8,0.8,-1.44,-1.44906
-1.8,0.9,-1.62,-1.61236
-1.8,1,-1.8,-1.77016
-1.8,1.1,-1.98,-1.92207
-1.8,1.2,-2.16,-2.06776
-1.8,1.3,-2.34,-2.20696
-1.8,1.4,-2.52,-2.33942
-1.8,1.5,-2.7,-2.46497
-1.8,1.6,-2.88,-2.58346
-1.8,1.7,-3.06,-2.69478
-1.8,1.8,-3.24,-2.79887
-1.8,1.9,-3.42,-2.89571
-1.7,-2,3.4,2.94388
-1.7,-1.9,3.23,2.85084
-1.7,-1.8,3.06,2.75096
-1.7,-1.7,2.89,2.64424
-1.7,-1.6,2.72,2.53075
-1.7,-1.5,2.55,2.41057
-1.7,-1.4,2.38,2.28383
-1.7,-1.3,2.21,2.1507
-1.7,-1.2,2.04,2.01139
-1.7,-1.1,1.87,1.86616
-1.7,-1,1.7,1.71529
-1.7,-0.9,1.53,1.55915
-1.7,-0.8,1.36,1.39812
-1.7,-0.7,1.19,1.23264
-1.7,-0.6,1.02,1.0632
-1.7,-0.5,0.85,0.890312
-1.7,-0.4,0.68,0.714539
-1.7,-0.3,0.51,0.53647
-1.7,-0.2,0.34,0.356719
-1.7,-0.1,0.17,0.175921
-1.7,6.38378e-16,-1.08524e-15,-0.00527494
-1.7,0.1,-0.17,-0.186217
-1.7,0.2,-0.34,-0.366253
-1.7,0.3,-0.51,-0.544741
-1.7,0.4,-0.68,-0.721054
-1.7,0.5,-0.85,-0.894589
-1.7,0.6,-1.02,-1.06477
-1.7,0.7,-1.19,-1.23105
-1.7,0.8,-1.36,-1.39294
-1.7,0.9,-1.53,-1.54996
-1.7,1,-1.7,-1.70171
-1.7,1.1,-1.87,-1.84781
-1.7,1.2,-2.04,-1.98794
-1.7,1.3,-2.21,-2.12181
-1.7,1.4,-2.38,-2.2492
-1.7,1.5,-2.55,-2.36992
-1.7,1.6,-2.72,-2.48382
