x,sin_x,ann_x
-2.475,0.971903,1.40112
-2.45,0.982453,1.35739
-2.425,0.990547,1.31356
-2.4,0.996165,1.26963
-2.375,0.999293,1.22562
-2.35,0.999923,1.18154
-2.325,0.998054,1.13739
-2.3,0.993691,1.09319
-2.275,0.986844,1.04896
-2.25,0.97753,1.00469
-2.225,0.965773,0.960415
-2.2,0.951602,0.916137
-2.175,0.935053,0.871872
-2.15,0.916166,0.827635
-2.125,0.894989,0.783441
-2.1,0.871576,0.739305
-2.075,0.845984,0.695245
-2.05,0.818277,0.651276
-2.025,0.788525,0.607417
-2,0.756802,0.563685
-1.975,0.723188,0.520101
-1.95,0.687766,0.476683
-1.925,0.650625,0.433451
-1.9,0.611858,0.390428
-1.875,0.571561,0.347635
-1.85,0.529836,0.305095
-1.825,0.486787,0.262831
-1.8,0.44252,0.220867
-1.775,0.397148,0.179229
-1.75,0.350783,0.137942
-1.725,0.303542,0.0970342
-1.7,0.255541,0.0565322
-1.675,0.206902,0.0164648
-1.65,0.157746,-0.0231386
-1.625,0.108195,-0.0622477
-1.6,0.0583741,-0.100831
-1.575,0.00840725,-0.138857
-1.55,-0.0415807,-0.176293
-1.525,-0.0914646,-0.213105
-1.5,-0.14112,-0.249257
-1.475,-0.190423,-0.284715
-1.45,-0.239249,-0.319442
-1.425,-0.287478,-0.353401
-1.4,-0.334988,-0.386554
-1.375,-0.381661,-0.418862
-1.35,-0.42738,-0.450285
-1.325,-0.472031,-0.480784
-1.3,-0.515501,-0.510317
-1.275,-0.557684,-0.538844
-1.25,-0.598472,-0.566321
-1.225,-0.637765,-0.592707
-1.2,-0.675463,-0.617959
-1.175,-0.711473,-0.642033
-1.15,-0.745705,-0.664887
-1.125,-0.778073,-0.686477
-1.1,-0.808496,-0.70676
-1.075,-0.836899,-0.725692
-1.05,-0.863209,-0.743231
-1.025,-0.887362,-0.759334
-1,-0.909297,-0.77396
-0.975,-0.92896,-0.787068
-0.95,-0.9463,-0.798618
-0.925,-0.961275,-0.808571
-0.9,-0.973848,-0.81689
-0.875,-0.983986,-0.823539
-0.85,-0.991665,-0.828486
-0.825,-0.996865,-0.831698
-0.8,-0.999574,-0.833146
-0.775,-0.999784,-0.832805
-0.75,-0.997495,-0.83065
-0.725,-0.992713,-0.826663
-0.7,-0.98545,-0.820826
-0.675,-0.975723,-0.813127
-0.65,-0.963558,-0.803558
-0.625,-0.948985,-0.792115
-0.6,-0.932039,-0.7788
-0.575,-0.912764,-0.763617
-0.55,-0.891207,-0.746579
-0.525,-0.867423,-0.727702
-0.5,-0.841471,-0.70701
-0.475,-0.813416,-0.684531
-0.45,-0.783327,-0.660299
-0.425,-0.75128,-0.634357
-0.4,-0.717356,-0.606753
-0.375,-0.681639,-0.577539
-0.35,-0.644218,-0.546779
-0.325,-0.605186,-0.514537
-0.3,-0.564642,-0.480889
-0.275,-0.522687,-0.445915
-0.25,-0.479426,-0.409699
-0.225,-0.434966,-0.372335
-0.2,-0.389418,-0.33392
-0.175,-0.342898,-0.294555
-0.15,-0.29552,-0.254349
-0.125,-0.247404,-0.213413
-0.1,-0.198669,-0.171862
-0.075,-0.149438,-0.129815
-0.05,-0.0998334,-0.0873924
-0.025,-0.0499792,-0.0447175
-4.69763e-15,-9.39526e-15,-0.00191481
0.025,0.0499792,0.0408908
0.05,0.0998334,0.0835744
0.075,0.149438,0.126012
0.1,0.198669,0.168079
0.125,0.247404,0.209657
0.15,0.29552,0.250625
0.175,0.342898,0.29087
0.2,0.389418,0.330279
0.225,0.434966,0.368746
0.25,0.479426,0.406168
0.275,0.522687,0.442448
0.3,0.564642,0.477494
0.325,0.605186,0.511221
0.35,0.644218,0.543548
0.375,0.681639,0.574402
0.4,0.717356,0.603716
0.425,0.75128,0.63143
0.45,0.783327,0.657489
0.475,0.813416,0.681845
0.5,0.841471,0.704457
0.525,0.867423,0.725292
0.55,0.891207,0.744319
0.575,0.912764,0.761517
0.6,0.932039,0.776869
0.625,0.948985,0.790363
0.65,0.963558,0.801993
0.675,0.975723,0.811759
0.7,0.98545,0.819665
0.725,0.992713,0.825718
0.75,0.997495,0.829933
0.775,0.999784,0.832324
0.8,0.999574,0.832913
0.825,0.996865,0.831722
0.85,0.991665,0.828777
0.875,0.983986,0.824109
0.9,0.973848,0.817748
0.925,0.961275,0.809728
0.95,0.9463,0.800084
0.975,0.92896,0.788854
1,0.909297,0.776077
1.025,0.887362,0.761791
1.05,0.863209,0.746039
1.075,0.836899,0.728861
1.1,0.808496,0.710301
1.125,0.778073,0.6904
1.15,0.745705,0.669202
1.175,0.711473,0.64675
1.2,0.675463,0.623088
1.225,0.637765,0.598258
1.25,0.598472,0.572304
1.275,0.557684,0.545267
1.3,0.515501,0.517192
