-0.95,1.71,1.32822
-0.9,1.44,1.18298
-0.85,1.19,1.03751
-0.8,0.96,0.892918
-0.75,0.75,0.750449
-0.7,0.56,0.611446
-0.65,0.39,0.47736
-0.6,0.24,0.349731
-0.55,0.11,0.23018
-0.5,-7.77156e-16,0.120388
-0.45,-0.09,0.0220854
-0.4,-0.16,-0.0629698
-0.35,-0.21,-0.133009
-0.3,-0.24,-0.186274
-0.25,-0.25,-0.221038
-0.2,-0.24,-0.235627
-0.15,-0.21,-0.228452
-0.1,-0.16,-0.198033
-0.05,-0.09,-0.143039
3.19189e-16,6.38378e-16,-0.0623292
0.05,0.11,0.0449998
0.1,0.24,0.179556
0.15,0.39,0.341594
0.2,0.56,0.530949
0.25,0.75,0.746977
0.3,0.96,0.988502
0.35,1.19,1.25378
0.4,1.44,1.54047
0.45,1.71,1.8457
0.5,2,2.16606
0.55,2.31,2.49774
0.6,2.64,2.83664
0.65,2.99,3.17855
0.7,3.36,3.5193
0.75,3.75,3.85494
0.8,4.16,4.18187
0.85,4.59,4.49699
0.9,5.04,4.79777
0.95,5.51,5.08228
1,6,5.34919
