-2,-2,-4,-3.71599
-2,-1.5,-3.5,-3.34066
-2,-1,-3,-2.93477
-2,-0.5,-2.5,-2.49942
-2,0,-2,-2.03682
-2,0.5,-1.5,-1.55043
-2,1,-1,-1.0449
-2,1.5,-0.5,-0.52593
-2,2,0,-2.71694e-05
-1.5,-2,-3.5,-3.34072
-1.5,-1.5,-3,-2.93482
-1.5,-1,-2.5,-2.49945
-1.5,-0.5,-2,-2.03684
-1.5,0,-1.5,-1.55044
-1.5,0.5,-1,-1.0449
-1.5,1,-0.5,-0.525928
-1.5,1.5,0,-2.04048e-05
-1.5,2,0.5,0.525894
-1,-2,-3,-2.93486
-1,-1.5,-2.5,-2.49948
-1,-1,-2,-2.03686
-1,-0.5,-1.5,-1.55045
-1,0,-1,-1.0449
-1,0.5,-0.5,-0.525925
-1,1,0,-1.36164e-05
-1,1.5,0.5,0.525902
-1,2,1,1.0449
-0.5,-2,-2.5,-2.4995
-0.5,-1.5,-2,-2.03688
-0.5,-1,-1.5,-1.55046
-0.5,-0.5,-1,-1.04491
-0.5,0,-0.5,-0.525921
-0.5,0.5,0,-6.81214e-06
-0.5,1,0.5,0.525909
-0.5,1.5,1,1.0449
-0.5,2,1.5,1.55047
0,-2,-2,-2.03689
0,-1.5,-1.5,-1.55046
0,-1,-1,-1.0449
0,-0.5,-0.5,-0.525915
0,0,0,-4.28578e-20
0,0.5,0.5,0.525915
0,1,1,1.0449
0,1.5,1.5,1.55046
0,2,2,2.03689
0.5,-2,-1.5,-1.55047
0.5,-1.5,-1,-1.0449
0.5,-1,-0.5,-0.525909
0.5,-0.5,0,6.81214e-06
0.5,0,0.5,0.525921
0.5,0.5,1,1.04491
0.5,1,1.5,1.55046
0.5,1.5,2,2.03688
0.5,2,2.5,2.4995
1,-2,-1,-1.0449
1,-1.5,-0.5,-0.525902
1,-1,0,1.36164e-05
1,-0.5,0.5,0.525925
1,0,1,1.0449
1,0.5,1.5,1.55045
1,1,2,2.03686
1,1.5,2.5,2.49948
1,2,3,2.93486
1.5,-2,-0.5,-0.525894
1.5,-1.5,0,2.04048e-05
1.5,-1,0.5,0.525928
1.5,-0.5,1,1.0449
1.5,0,1.5,1.55044
1.5,0.5,2,2.03684
1.5,1,2.5,2.49945
1.5,1.5,3,2.93482
1.5,2,3.5,3.34072
2,-2,0,2.71694e-05
2,-1.5,0.5,0.52593
2,-1,1,1.0449
2,-0.5,1.5,1.55043
2,0,2,2.03682
2,0.5,2.5,2.49942
2,1,3,2.93477
2,1.5,3.5,3.34066
2,2,4,3.71599
